Route,Year,x,y,Effort,Habitat,JunJul,DJF,AprMay,Phylloscopus_trochilus,Turdus_iliacus,Fringilla_coelebs,Turdus_philomelos,Carduelis_spinus,Parus_major,Anthus_trivialis,Erithacus_rubecula,Cuculus_canorus,Muscicapa_striata,Ficedula_hypoleuca,Turdus_pilaris,Loxia_curvirostra,Columba_palumbus,Sylvia_borin,Corvus_corone,Dendrocopos_major,Emberiza_citrinella,Turdus_merula,Sylvia_curruca,Regulus_regulus,Prunella_modularis,Phoenicurus_phoenicurus,Parus_caeruleus,Parus_montanus,Motacilla_alba,Carduelis_chloris,Phylloscopus_collybita,Tringa_ochropus,Parus_cristatus,Sylvia_communis,Grus_grus,Larus_canus,Pica_pica,Phylloscopus_sibilatrix,Turdus_viscivorus,Hirundo_rustica,Sylvia_atricapilla,Tetrao_tetrix,Pyrrhula_pyrrhula,Dryocopus_martius,Certhia_familiaris,Alauda_arvensis,Corvus_corax,Saxicola_rubetra,Garrulus_glandarius,Numenius_arquata,Carpodacus_erythrinus,Gallinago_gallinago,Corvus_monedula
25,2009,4998.1,4181.9,6000,Co,15.926,-1.21,6.81515,42,6,73,14,6,9,20,8,4,7,2,2,11,11,8,1,4,13,11,3,4,4,1,3,1,1,0,6,1,3,1,2,0,0,1,5,0,3,2,0,4,1,4,0,0,1,0,0,0,0
26,2010,5024.1,4189.4,6000,Co,15.134,-7.8244,7.62135,33,9,38,14,13,16,22,10,7,5,14,7,3,10,6,5,2,10,8,3,1,1,1,9,0,4,4,2,1,1,1,3,5,1,1,2,0,1,2,0,2,3,6,0,0,1,0,0,1,0
26,2014,5024.1,4189.4,6300,Co,17.131,-1.4708,7.81415,32,6,53,15,14,15,21,11,2,6,5,4,3,14,9,5,8,18,8,4,11,1,0,5,0,1,2,3,0,3,1,2,2,0,5,3,0,0,1,0,0,1,6,2,0,1,0,0,1,0
26,2012,5024.1,4189.4,6100,Co,18.261,-3.0573,7.2135,25,12,55,21,14,21,18,14,6,4,4,4,1,13,6,4,6,16,14,3,5,1,0,6,1,3,0,0,1,6,4,2,6,0,1,0,0,1,0,0,0,3,9,4,0,1,0,0,0,0
26,2008,5024.1,4189.4,6000,Co,16.325,1.2747,8.20115,27,7,40,9,6,12,13,7,1,3,12,7,2,12,2,6,7,10,11,1,11,0,2,1,1,1,5,0,0,1,3,3,2,0,1,0,3,3,1,0,2,3,4,0,0,0,0,0,0,0
26,2013,5024.1,4189.4,6300,Co,14.91,-4.8522,7.74885,36,8,54,15,16,20,19,10,3,3,9,7,4,8,9,3,7,16,7,0,6,3,3,8,0,2,1,1,1,5,2,4,6,0,2,1,0,2,3,0,0,1,4,2,0,1,0,0,0,0
27,2010,5046.400000000001,4196.3,6100,Co,15.113,-8.0333,7.72035,22,10,41,13,9,10,9,6,6,2,8,25,1,11,12,6,4,9,7,1,3,0,0,7,0,3,3,4,2,0,3,0,9,4,1,1,0,1,5,0,4,2,1,0,0,2,1,1,0,11
27,2007,5046.400000000001,4196.3,6000,Co,17.023,-1.9478,7.78685,14,3,26,8,6,4,9,9,0,3,6,5,0,7,8,4,0,9,4,0,3,4,1,4,0,1,3,5,0,5,6,0,2,1,4,1,1,2,0,0,2,3,3,1,0,4,0,0,0,2
27,2012,5046.400000000001,4196.3,6100,Co,18.231,-3.2169,7.34765,20,5,27,14,10,9,12,9,4,5,6,5,3,9,7,4,3,9,11,1,6,1,0,9,2,2,2,1,2,1,3,0,11,4,8,1,1,4,2,0,0,3,4,1,0,3,0,0,0,7
27,2011,5046.400000000001,4196.3,6100,Co,17.684,-8.1467,7.756,26,5,34,14,14,6,12,7,14,11,5,11,1,9,8,6,8,11,12,1,5,4,1,9,3,2,3,5,2,1,6,0,5,2,2,4,1,1,0,0,1,2,4,1,0,1,0,0,0,6
27,2009,5046.400000000001,4196.3,6100,Co,15.874,-2.3944,7.733,12,7,29,15,11,15,6,2,10,3,7,12,11,12,6,7,6,6,7,1,0,2,1,7,1,1,4,4,0,2,3,2,3,2,1,3,2,1,1,0,0,4,2,1,0,5,1,0,0,6
27,2014,5046.400000000001,4196.3,6100,Co,17.254,-1.5472,8.02665,29,4,30,7,6,12,6,5,7,6,5,15,0,11,6,7,3,11,13,1,3,5,1,4,1,2,3,3,0,4,5,2,12,2,4,3,4,4,1,0,3,1,3,2,1,4,0,0,0,12
27,2013,5046.400000000001,4196.3,6100,Co,14.977,-4.9311,7.9375,18,3,59,18,0,5,18,3,4,0,3,5,25,18,3,3,8,5,6,0,0,0,0,2,0,1,4,1,0,2,5,0,8,2,0,3,1,2,0,0,1,0,2,0,0,0,0,0,0,5
28,2013,5070.7,4201.,6050,Co,14.795,-5.0533,7.74835,44,1,61,5,2,4,4,8,6,1,1,9,0,7,5,9,7,3,10,0,3,0,0,3,3,3,0,0,0,5,4,4,3,6,3,0,6,1,0,0,1,1,6,3,0,1,1,0,0,7
28,2014,5070.7,4201.,6150,Co,17.203,-1.8393,8.007,30,1,48,10,12,3,11,6,5,2,1,4,0,5,7,4,2,8,11,1,1,1,1,3,2,9,6,2,0,1,8,2,3,1,3,0,2,3,0,2,0,0,6,2,0,3,1,0,0,6
28,2010,5070.7,4201.,6050,Co,14.9,-8.4022,7.598,30,2,42,4,5,7,3,6,6,2,6,13,2,13,8,5,0,8,1,2,1,2,0,0,0,6,5,4,0,0,4,1,4,3,1,1,3,0,0,0,0,1,2,1,0,0,2,0,1,10
28,2008,5070.7,4201.,6000,Co,16.066,0.56154,8.15665,32,10,45,10,5,9,14,10,5,2,4,12,10,10,6,4,3,9,6,2,7,5,0,6,0,6,11,2,3,3,8,4,3,2,2,2,3,0,0,0,1,1,8,1,0,0,0,0,0,7
28,2011,5070.7,4201.,6050,Co,17.593,-8.3044,7.799,42,5,39,6,8,5,16,5,3,2,4,7,0,6,8,3,4,10,13,3,2,2,4,3,0,5,5,4,1,1,5,1,2,2,6,0,4,2,0,0,0,0,5,4,1,1,0,3,0,8
28,2006,5070.7,4201.,6000,Co,16.164,-5.2044,6.849,24,6,34,10,1,8,8,13,3,5,0,8,3,9,5,3,1,6,3,1,5,2,0,3,1,4,7,1,2,5,6,0,0,1,1,1,1,2,0,0,0,0,10,2,0,1,0,1,0,2
29,2009,5095.900000000001,4205.,6000,Urb,15.679,-2.4178,7.649,9,1,23,0,0,12,0,3,0,1,12,11,0,1,15,9,4,5,2,0,0,0,4,6,0,11,18,0,0,0,12,0,10,9,1,0,2,5,0,0,0,0,4,0,0,0,0,0,0,4
29,2013,5095.900000000001,4205.,6000,Urb,15.221,-5.0578,7.77935,7,0,14,0,1,12,0,7,0,0,11,8,0,4,8,7,2,2,2,2,0,0,5,8,0,12,6,0,0,0,12,0,15,4,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,5
29,2006,5095.900000000001,4205.,6000,Urb,16.584,-5.1311,7.12785,18,2,18,0,0,5,0,7,0,3,7,16,1,2,5,4,3,3,4,0,0,2,3,5,0,12,20,0,0,0,12,0,6,6,0,0,3,5,0,0,0,0,2,0,0,0,0,2,0,7
29,2014,5095.900000000001,4205.,6000,Urb,17.398,-1.8551,8.23385,13,0,14,1,0,11,0,9,0,1,3,12,1,4,11,6,1,2,3,2,0,0,6,8,0,8,2,0,0,2,6,0,10,8,0,0,1,5,0,0,0,1,4,0,0,0,0,1,0,5
29,2012,5095.900000000001,4205.,6000,Urb,18.249,-3.482,7.40285,7,2,22,1,1,11,0,5,0,1,14,16,1,3,8,8,0,0,2,2,0,0,7,11,0,8,3,0,0,0,16,0,11,12,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,7
29,2008,5095.900000000001,4205.,6000,Urb,16.452,0.6978,8.41165,11,7,20,1,1,13,0,4,0,3,10,21,6,5,12,10,1,3,2,3,0,0,1,11,0,18,20,0,0,0,12,0,5,5,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,2
29,2007,5095.900000000001,4205.,6000,Urb,17.561,-1.96,8.03015,24,3,12,0,0,13,0,4,0,1,9,17,0,2,9,5,4,3,4,0,1,0,6,7,0,15,15,0,0,0,10,0,4,8,0,0,5,4,0,0,0,0,1,0,0,0,0,1,0,2
29,2010,5095.900000000001,4205.,6000,Urb,15.216,-8.3678,7.8045,13,3,17,0,1,18,0,4,0,1,13,11,0,0,9,12,1,2,1,0,0,1,9,9,0,10,3,0,0,0,10,0,10,7,1,0,1,4,0,0,0,0,3,0,0,0,0,0,0,6
29,2011,5095.900000000001,4205.,6000,Urb,17.993,-8.2978,7.9375,10,2,14,0,2,14,0,8,0,1,8,13,1,4,7,14,0,3,2,3,0,0,4,10,0,8,3,0,0,0,10,0,13,8,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,8
30,2010,5120.,4212.3,7000,Co,15.141,-8.5444,7.82365,32,16,37,3,12,13,11,12,2,14,16,13,4,4,8,6,7,3,14,1,2,1,0,4,0,4,2,0,1,2,3,0,0,4,2,0,3,3,0,0,0,0,0,6,0,1,0,0,0,0
30,2006,5120.,4212.3,6150,Co,16.241,-5.6744,6.8825,19,5,43,3,0,15,3,11,3,1,9,18,1,2,9,4,2,3,13,1,5,0,0,5,0,0,12,0,0,0,2,0,1,1,1,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0
30,2009,5120.,4212.3,7000,Co,15.646,-2.6789,7.55665,28,12,40,7,9,28,7,10,3,8,19,11,9,1,16,1,11,4,20,1,4,5,3,2,1,2,12,1,0,2,0,0,0,1,3,0,0,3,1,0,0,1,0,8,0,0,0,0,0,0
30,2007,5120.,4212.3,6800,Co,17.313,-2.8367,7.94415,60,9,70,8,9,35,11,20,5,3,38,18,7,4,5,3,13,2,15,1,9,4,4,8,1,1,8,1,1,1,2,0,2,1,5,0,2,6,0,0,0,2,0,0,0,1,0,0,0,0
30,2014,5120.,4212.3,7000,Co,17.585,-1.982,8.37685,31,9,53,13,9,23,6,15,8,3,10,21,3,5,9,4,13,4,25,2,5,5,2,9,0,2,2,0,4,0,2,0,0,2,5,0,1,5,0,0,0,0,0,0,0,3,0,0,0,0
30,2013,5120.,4212.3,7000,Co,15.475,-4.95,8.15715,25,9,41,7,6,13,6,12,2,5,14,20,3,3,10,3,11,3,11,3,4,3,1,8,1,3,1,0,1,0,0,0,3,1,2,0,1,6,0,0,0,1,0,3,0,0,0,0,0,0
30,2012,5120.,4212.3,6850,Co,18.38,-3.5045,7.36785,28,8,44,5,9,35,2,19,2,3,19,12,0,2,10,2,4,2,11,0,7,2,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0
31,2007,5141.5,4218.1,6000,Urb,17.718,-2.39,8.23035,18,4,42,2,4,19,4,4,0,7,14,31,0,19,7,16,7,13,12,3,6,1,0,7,0,12,17,0,0,1,25,0,2,11,3,0,2,2,0,0,0,0,43,0,2,0,0,0,0,11
31,2014,5141.5,4218.1,6000,Urb,18.023,-1.8685,8.56415,14,6,42,2,6,12,1,9,4,1,5,34,0,37,3,9,1,8,16,1,0,0,0,7,0,16,10,0,0,0,22,0,3,10,4,0,4,5,0,0,0,0,32,0,0,0,0,0,0,6
31,2012,5141.5,4218.1,6000,Urb,18.992,-3.2011,7.623,8,1,14,2,2,21,0,4,3,0,3,26,0,5,1,9,2,2,11,4,0,0,0,0,0,12,8,0,0,0,15,0,35,7,2,0,2,3,0,0,1,0,18,1,0,0,0,1,0,5
31,2013,5141.5,4218.1,6000,Urb,15.911,-4.8022,8.491,6,5,29,2,0,5,0,4,2,0,2,30,1,20,4,10,2,8,14,0,0,0,0,3,0,10,10,0,0,0,13,0,13,9,5,0,1,2,0,0,0,0,32,0,1,0,0,0,0,3
32,2014,5168.2,4226.3,6000,Co,17.402,-1.9371,7.581,21,4,46,9,4,14,4,14,8,12,10,21,4,5,16,2,6,9,15,2,11,4,1,10,1,3,1,0,2,1,11,0,2,0,4,0,5,4,0,1,2,5,1,0,0,3,0,1,0,6
32,2013,5168.2,4226.3,6000,Co,15.261,-4.6911,7.48315,13,2,57,14,8,16,10,12,6,5,11,14,3,10,12,0,5,7,23,3,9,8,0,10,0,7,1,0,1,0,11,0,7,4,0,0,7,3,1,1,0,0,0,0,0,0,0,0,0,4
32,2012,5168.2,4226.3,6000,Co,18.439,-3.0067,6.89285,17,4,55,14,12,17,3,18,2,14,13,18,4,10,4,2,7,4,13,0,7,4,0,20,2,4,5,0,1,0,6,0,4,2,4,0,2,1,0,1,1,1,0,0,1,0,0,0,0,6
32,2011,5168.2,4226.3,6000,Co,18.179,-7.9578,7.4602,27,6,62,14,7,19,8,19,5,6,12,11,2,17,14,2,11,8,7,3,4,7,0,8,1,7,4,0,0,0,5,0,6,1,4,0,6,2,0,1,0,4,0,0,0,1,0,1,0,3
32,2006,5168.2,4226.3,6000,Co,16.572,-5.2733,6.43355,35,4,57,9,4,16,6,16,11,4,9,13,2,1,12,2,4,14,18,0,6,7,0,6,5,5,12,0,0,2,7,0,0,1,1,0,6,0,0,0,0,0,2,0,0,3,0,0,0,1
32,2008,5168.2,4226.3,6000,Co,16.144,0.81429,7.80715,20,5,43,9,3,17,5,18,2,12,14,7,0,3,11,2,4,7,11,2,8,3,1,12,0,5,10,0,0,1,6,0,0,1,9,0,5,1,0,2,0,2,1,0,0,1,0,2,0,1
32,2010,5168.2,4226.3,6000,Co,15.457,-8.2844,7.49865,21,6,36,9,9,10,7,8,2,9,11,16,4,2,12,2,2,6,10,1,4,2,0,9,2,7,6,0,1,0,4,0,2,4,5,1,3,2,0,1,0,0,0,0,0,1,0,0,0,2
33,2006,5192.400000000001,4232.3,6000,Co,16.33,-5.4233,6.2943,90,1,83,10,9,16,25,34,8,3,6,5,1,20,15,12,6,10,6,2,10,0,1,2,1,5,6,3,0,3,5,0,9,0,1,1,5,0,0,0,1,2,1,0,0,2,0,2,0,2
33,2012,5192.400000000001,4232.3,6000,Co,18.375,-3.0225,6.745,48,4,80,12,6,23,18,13,4,4,3,4,1,12,10,13,7,12,14,3,5,2,0,10,1,4,4,0,1,2,14,1,9,2,2,0,4,1,1,0,0,0,0,2,0,2,0,0,0,0
33,2010,5192.400000000001,4232.3,6000,Co,15.436,-8.3889,7.34185,58,8,53,20,13,14,18,26,3,3,5,5,2,17,20,8,3,13,5,2,6,2,1,11,4,3,3,0,3,1,8,1,4,2,3,2,2,2,0,0,1,1,0,4,0,0,0,3,0,1
